,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4184,JE COMERCIO E REFORMA DE PALLETES LTDA,10702378000190,"ESTRADA CORONEL JOSE GLADIADOR  698 , SAO PAULO",-23.4385587,-46.7940018,SAO PAULO,3
4185,CONSTRULAR CONSTRUCAO E COMERCIO LTDA,10703935000198,"RUA VITORIANO DA SILVA  9 , SAO PAULO",-23.598902,-46.7669397,SAO PAULO,2
4186,SERGIO GIANTORNO,10704776000146,"AVENIDA VILA EMA  4981 , SAO PAULO",-23.5961406,-46.5352377,SAO PAULO,2
4187,MR PROJECT AUTOMACAO LTDA,10707708000130,"RUA DOUTOR MANOEL GUIMARAES  711 , SAO PAULO",-23.5197222,-46.4509279,SAO PAULO,3
4188,ABC COMERCIO DE CHAPAS LTDA,10713656000105,"AVENIDA WINSTON CHURCHILL  1400 , SAO BERNARDO DO CAMPO",-23.6696609,-46.5561306,SAO BERNARDO DO CAMPO,3
4189,CRISTIAM MARTINS JANUARIO MATERIAL ELETRICO,10716245000254,"RUA DOS GUSMOES  394 , SAO PAULO",-23.5374428,-46.6401013,SAO PAULO,1
4191,BELLAN & CAMARGO MATERIAIS DE CONSTRUCAO LTDA,10718345000139,"AVENIDA VEREADOR JOAO FERNANDES DA SILVA  981 , ITAQUAQUECETUBA",-23.4933944,-46.3563395,ITAQUAQUECETUBA,4
4192,LOCANDAIMES COMERCIO E LOCACAO LTDA,10724455000103,"RUA ANA MATOS  86 , SAO PAULO",-23.4992897,-46.5109814,SAO PAULO,2
4193,KAWAKAMI COMERCIO E INSTALACOES LTDA,10725824000182,"RUA EDMUNDO GREGORIAN  102 , SAO PAULO",-23.5883176,-46.729857,SAO PAULO,2
4194,LUZ AUTOMACAO INDUSTRIAL LTDA,10726723000126,"RUA CAPAO BONITO  154 , ITAQUAQUECETUBA",-23.4909407,-46.3561146,ITAQUAQUECETUBA,4
4195,RV MADEIRAS E FERRAGENS LTDA,10726930000180,"AVENIDA ROBERT KENNEDY  1664 , SAO PAULO",-23.7051076,-46.5762592,SAO PAULO,3
4196,FOCA  COMERCIAL E DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,10728931000164,"RUA JOAQUIM ALVES DINIS  859 , SAO PAULO",-23.520991,-46.4913644,SAO PAULO,2
